smp500,bitcoin
2945.64,5657.4
2932.47,5687.9
2884.05,5748.45
2879.42,5948.41
2870.72,6153.09
2881.4,6343.14
2811.87,7824.93
2834.41,7990.92
2850.96,8203.32
2876.32,7878.96
2859.53,7363.69
2840.23,7999.54
2864.36,7951.7
2856.27,7626.48
2822.24,7881.98
2826.06,8001.7
2802.39,8715.36
2783.02,8662.44
2788.86,8279.69
2752.06,8554.06
2744.45,8107.96
2803.27,7670.96
2826.15,7789.48
2843.49,7805.0
2873.34,7998.13
2886.73,8015.69
2885.72,7918.17
2879.84,8176.02
2891.64,8239.04
2886.98,8697.46
2889.67,9333.14
2917.75,9078.48
2926.46,9277.54
2954.18,9531.21
2950.46,10236.2
2945.35,11032.32
2917.38,11755.53
2913.78,12927.44
2924.92,11159.29
2941.76,12360.45
2964.33,10577.63
2973.01,10829.18
2995.82,11976.42
2990.41,11004.51
2975.95,12293.53
2979.63,12571.11
2993.07,12097.96
2999.91,11349.0
3013.77,11802.0
3014.3,10854.47
3004.04,9422.72
2984.42,9696.31
2995.11,10649.07
2976.61,10538.06
2985.03,10323.39
3005.47,9840.12
3019.56,9772.6
3003.67,9883.33
3025.86,9843.0
3020.97,9495.01
3013.18,9589.01
2980.38,10087.3
2953.56,10405.94
2932.05,10533.01
2844.74,11819.49
2881.77,11465.49
2883.98,11975.03
2938.09,11981.0
2918.65,11856.1
2882.7,11389.28
2926.32,10854.92
2840.6,10025.86
2847.6,10300.01
2888.68,10352.78
2923.65,10920.0
2900.51,10769.09
2924.43,10130.0
2922.95,10107.15
2847.11,10410.85
2878.38,10361.65
2869.16,10171.85
2887.94,9714.31
2924.58,9495.0
2926.46,9582.42
2906.27,10628.48
2937.78,10581.84
2976.0,10574.73
2978.71,10308.92
2978.43,10310.0
2979.39,10093.01
3000.93,10160.2
3009.57,10423.72
3007.39,10365.93
2997.96,10262.54
3005.7,10185.39
3006.73,10155.26
3006.79,10275.01
2992.07,10168.85
2991.78,9844.28
2966.6,8530.01
2984.87,8438.35
2977.62,8060.0
2961.79,8193.99
2976.74,8304.96
2940.25,8321.52
2887.61,8381.72
2910.63,8240.41
2952.01,8156.67
2938.79,8209.0
2893.06,8180.0
2919.4,8590.0
2938.13,8587.5
2970.27,8267.33
2966.15,8355.0
2995.68,8162.44
2989.69,7993.54
2997.95,8076.2
2986.2,7954.16
3006.72,8209.92
2995.99,8024.72
3004.52,7474.85
3010.29,7430.87
3022.55,8668.0
3039.42,9226.5
3036.89,9430.8
3046.77,9164.44
3037.56,9159.48
3066.91,9253.12
3078.27,9412.53
3074.62,9322.09
3076.78,9341.27
3085.18,9198.84
3093.08,8763.01
3087.01,8721.54
3091.84,8810.0
3094.04,8758.34
3096.63,8630.0
3120.46,8457.48
3122.03,8168.84
3120.18,8123.36
3108.46,8082.96
3103.54,7616.46
3110.29,7283.03
3133.64,7127.01
3140.52,7162.67
3153.63,7523.72
3140.98,7760.0
3113.87,7305.01
3093.2,7302.94
3112.76,7198.99
3117.43,7393.54
3145.91,7540.08
3135.96,7337.51
3132.52,7219.37
3141.63,7201.23
3168.57,7185.91
3168.8,7249.9
3191.45,6877.03
3192.52,6616.62
3191.14,7285.53
3205.37,7149.12
3221.22,7190.0
3224.01,7310.79
3223.38,7255.01
3239.91,7194.13
3240.02,7245.83
3221.29,7218.0
3230.78,7165.72
3257.85,6945.02
3234.85,7334.45
3246.28,7764.63
3237.18,8158.52
3253.05,8045.51
3274.7,7813.78
3265.35,8198.09
3288.13,8104.5
3283.15,8815.69
3289.29,8808.81
3316.81,8714.76
3329.62,8899.42
3320.79,8722.03
3321.75,8660.38
3325.54,8385.22
3295.47,8427.26
3243.63,8895.96
3276.24,9394.5
3273.4,9288.44
3283.66,9503.08
3225.52,9334.98
3248.92,9280.49
3297.59,9164.33
3334.69,9613.82
3345.78,9763.01
3327.71,9808.05
3352.09,9851.78
3357.75,10270.01
3379.45,10351.13
3373.94,10236.49
3380.16,10371.33
3370.29,10188.04
3386.15,9600.08
3373.23,9610.05
3337.75,9695.66
3225.89,9660.0
3128.21,9305.0
3116.39,8778.3
2978.76,8812.49
2954.22,8708.89
3090.23,8915.0
3003.37,8757.84
3130.12,8760.66
3023.94,9070.17
2972.37,9158.51
2746.56,7934.52
2882.23,7894.68
2741.38,7938.05
2480.64,4857.1
2711.02,5637.6
2386.13,5037.61
2529.19,5331.71
2398.1,5413.64
2409.39,6186.26
2304.92,6206.1
2237.4,6490.63
2447.33,6766.64
2475.56,6690.96
2630.07,6758.18
2541.47,6372.36
2626.65,6406.4
2584.59,6424.35
2470.5,6666.11
2526.9,6804.52
2488.65,6741.99
2663.68,7341.56
2659.41,7200.01
2749.98,7370.11
2789.82,7293.24
2761.63,6861.21
2846.06,6877.37
2783.36,6624.12
2799.55,7112.64
2874.56,7037.46
2823.16,6838.19
2736.56,6853.68
2799.31,7136.84
2797.8,7488.83
2836.74,7514.64
2878.48,7789.77
2863.39,7755.01
2939.51,8793.75
2912.43,8624.28
2830.71,8829.42
2842.74,8883.53
2868.44,9028.79
2848.42,9155.79
2881.19,10004.77
2929.8,9810.0
2930.19,8572.4
2870.12,8821.42
2820.0,9321.26
2852.5,9795.34
2863.7,9312.1
2953.91,9728.52
2922.94,9783.76
2971.61,9509.41
2948.51,9061.96
2955.45,9168.84
2991.77,8844.42
3036.13,9208.53
3029.73,9581.095
3044.31,9423.84
3055.73,10208.96
3080.82,9522.46
3122.87,9668.07
3112.35,9788.03
3193.93,9613.21
3232.39,9781.51
3207.18,9779.41
3190.14,9894.04
3002.1,9268.16
3041.31,9464.17
3066.59,9432.53
3124.74,9526.25
3113.49,9457.51
3115.34,9376.14
3097.74,9301.91
3117.86,9690.74
3131.29,9623.56
3050.33,9285.91
3083.76,9243.51
3009.05,9155.42
3053.24,9184.45
3100.29,9136.2
3115.86,9239.97
3130.01,9091.53
3179.72,9343.31
3145.32,9253.94
3169.94,9435.28
3152.05,9236.95
3185.04,9291.05
3155.22,9236.92
3197.52,9256.94
3226.56,9190.16
3215.57,9130.11
3224.73,9154.29
3251.84,9161.05
3257.3,9394.14
3276.02,9536.18
3235.66,9613.24
3215.63,9551.21
3239.41,11048.91
3218.44,10934.23
3258.44,11110.12
3246.22,11115.95
3271.12,11351.62
3294.61,11233.13
3306.51,11197.04
3327.77,11756.75
3349.16,11773.89
3351.28,11606.52
3360.47,11899.73
3333.69,11388.53
3380.35,11566.45
3373.43,11795.95
3372.85,11779.0
3381.99,12304.26
3389.78,11950.0
3374.85,11758.87
3385.51,11864.26
3397.16,11529.22
3431.28,11753.85
3443.62,11324.92
3478.73,11463.27
3484.55,11330.06
3508.01,11535.0
3500.31,11655.0
3526.65,11924.22
3580.84,11395.48
3455.06,10172.52
3426.96,10500.05
3331.84,10125.69
3398.96,10224.56
3339.19,10343.23
3340.97,10394.41
3383.54,10679.95
3401.2,10783.75
3385.49,10959.61
3357.01,10943.61
3319.47,10937.52
3281.06,10416.82
3315.57,10531.13
3236.92,10235.1
3246.59,10740.01
3298.46,10690.53
3351.6,10695.55
3335.47,10840.73
3363.0,10779.63
3380.8,10617.63
3348.42,10573.12
3408.6,10795.0
3360.97,10602.66
3419.44,10670.47
3446.83,10933.09
3477.14,11057.07
3534.22,11535.46
3511.93,11428.22
3488.67,11427.7
3483.34,11509.34
3483.81,11328.95
3426.92,11760.45
3443.12,11923.83
3435.56,12808.0
3453.49,12987.02
3465.39,12937.09
3400.97,13068.79
3390.68,13698.18
3271.03,13281.05
3310.11,13460.0
3269.96,13571.51
3310.24,13563.22
3369.16,14035.8
3443.44,14161.48
3510.45,15608.21
3509.44,15599.95
3550.5,15342.25
3545.53,15315.03
3572.66,15705.79
3537.01,16310.81
3585.15,16339.56
3626.91,16726.64
3609.53,17679.36
3567.79,17782.91
3581.87,17821.58
3557.54,18675.25
3577.59,18384.82
3635.41,19172.84
3629.65,18721.93
3638.35,17153.95
3621.63,19713.94
3662.45,18782.97
3669.01,19225.63
3666.72,19448.64
3699.12,18658.1
3691.96,19177.71
3702.25,18316.22
3672.82,18546.55
3668.1,18253.44
3663.46,18042.15
3647.49,19272.37
3694.62,19444.6
3701.17,21359.65
3722.48,22826.48
3709.41,23137.76
3694.92,22729.4
3687.26,23823.27
3690.01,23228.35
3703.06,23717.96
3735.36,27040.36
3727.04,27366.35
3732.04,28897.42
3756.07,28990.08
3700.65,32019.99
3726.86,34030.64
3748.14,36859.26
3803.79,39505.56
3824.68,40665.15
3799.61,35452.59
3801.19,34038.98
3809.84,37393.66
3795.54,39125.14
3768.25,36754.67
3798.91,35917.28
3851.85,35503.09
3853.07,30855.95
3841.47,32984.93
3855.36,32261.87
3849.62,32510.82
3750.77,30407.13
3787.38,33488.99
